Topic,Count,Name,Representation,Representative_Docs,zero_shot_label
-1,236,-1_compound_inhibitor_molecular_study,"['compound', 'inhibitor', 'molecular', 'study', 'drug', 'target', 'cancer', 'discovery', 'docking', 'bind']","['background delta play key role bcell signal transduction inhibition confirm clinical benefit certain type activation bcell malignancy virtual screening technique discover new molecule develop novel inhibitor little effect method computer aid drug design method rapidly screen optimal inhibitor asinex database virtual screening base molecular docking perform find novel potential lead compound target subsequently drug likeness study carry retrieve hit evaluate analyze drug like property absorption distribution metabolism excretion toxicity admet toxicity prediction toxic compound select molecular dynamic md simulation ns order validate stability inside active site receptor result base present silico analysis molecule identify occupy bind pocket confirm selection active site asn glide score kcalmol cdocker bind energy kcalmol deltagbind value kcalmol bas glide score kcalmol cdocker bind energy kcalmol deltagbind value kcalmol show dock affinity comparatively strong report know inhibitor ligand behavior show consistency simulation proteinligand complex ps respectively indicative stability receptor pocket conclusion compound asn bas potential candidate experimental validation biological activity future drug discovery study study smooth path development novel lead improved bind property high drug likeness low toxicity human treatment cancer', 'traditional method drug discovery process surpass rational approach computeraide drug designing play vital role identification lead large compound database natural product important role drug discovery source active ingredient medicine silico structure ligandbased approach apply screen inhouse iiim natural product repository serinethreonine protein kinase wellknown therapeutic target cancer overexpression prevent cell undergo apoptosis combine ligandbase structurebase strategy apply exist library comprising pure natural product compound identify screen biologically evaluate inhibition kinase activity assay fourteen promising compound show significant inhibition nm vitro screening new inhibition md study active compound infer important amino acid residue provide stability complex lead optimization study perform active design well selective inhibitor result emphasize successful application virtual screening identify new inhibitor scaffold develop drug candidate drug discovery programme', 'bromodomain extraterminal bet protein family reversible lysineacetylated epigenetic reader identify key important epigenetic regulator protein recognition posttranslational modification target cancer role superenhancer transcription oncogene expression cancer form cancer disease firstly small potent bet inhibitor target bet protein currently clinical trial ablate cancer identify compound take library preexist therapeutically potent molecule objective present study identify potential small molecule inhibitor insilico approach treatment cancer present study design insilico screening small molecule ligandbase pharmacophore study bromodomaincontaine protein protein virtual screening database bind affinity interaction identify molecule predict molecular dock molecular dynamic simulation fix time period molecular mechanic mmgbsa bind free energy calculation adme druglikeness property include violation lipinski rule jorgensen rule parameter study docking result indicate report database screen molecule validate dock score good model identify hit drug filter scrutinize ability base bind mode common interaction mmgbsa high affinity kcalmol adme property select molecule predict parameter dynamic study evaluate bind stability maestro software conclusion inhibitor find bind strongly similar bind site highlight role compound identify promise new option regulate epigenetic understand structural need protein research area lead development effective target cancer drugscommunicate ramaswamy h sarma']",
0,366,0_drug_docking_discovery_method,"['drug', 'docking', 'discovery', 'method', 'molecular', 'screening', 'target', 'ligand', 'virtual', 'protein']","['protein threedimensional structure prediction challenging issue field computational biochemistry overwhelm scientist half century significant breakthrough structural biology establish develop artificial intelligence ai system system provide stateoftheart prediction protein structure nearly know protein sequence high accuracy study examine reliability model compare experimental structure drug discovery focus common protein drugtargete class know g proteincouple receptor gpcrs class total representative protein target select include experimental structure xray crystallographic cryoem structure corresponding model quality model assess different structure validation tool include plddt score rmsd value molprobity score percentage ramachandran favor qmean zscore qmeandisco global molecular docking perform genetic optimization ligand dock gold software model reliability virtual drug screening determine ability predict ligand binding pose close native bind pose assess root mean square deviation rmsd metric dock scoring function quality docking scoring function evaluate enrichment factor ef furthermore capability model molecular docking identify hit key proteinligand interaction analyze posing power result show model successfully predict ligand bind pose rmsd exhibit low screening power average ef value xray cryoem structure respectively study reveal molecular docking model identify competitive inhibitor conclusion study find model provide dock result comparable experimental structure particularly certain gpcr target potentially significantly impact drug discovery', 'review focus machine learning approach chemoinformatic machine learning approach provide tool algorithm improve drug discovery physicochemical property drug like toxicity absorption drugdrug interaction carcinogenesis distribution effectively model qsar technique machine learning subset artificial intelligence technique show tremendous potential field drug discovery technique discuss review capable model nonlinear dataset big datum increase depth complexity machine learningbase approach drug target prediction model structure drug target bind site prediction ligandbase similarity search de novo design ligand desire property develop scoring function molecular docking building qsar model biological activity prediction prediction pharmacokinetic pharmacodynamic property ligand recent year predictive tool model achieve good accuracy use related input datum relevant parameter appropriate algorithm accuracy prediction improve', 'proteinligand interaction imperative subject structurebase drug design protein function prediction process molecular docking computational method predict binding ligand molecule particular receptor predict bind pose strength bind affinity molecule scoring function molecular docking molecular dynamic simulation widely combination predict bind mode bind affinity stability different proteinligand system advancement algorithm computational power molecular dynamic simulation fundamental tool investigative biomolecular assembly atomic level method association experimental support great value modern drug discovery development nowadays increasingly significant method drug discovery process review focus proteinligand interaction molecular docking virtual screening molecular dynamic simulation cover overview available method molecular docking molecular dynamic simulation advancement application area modern drug discovery available docking software advancement include application example different approach drug discovery discuss introduce physicochemical foundation molecular docking simulation mainly perception biomolecular interaction']",drug target identification and validation
1,106,1_drug_virus_protease_antiviral,"['drug', 'virus', 'protease', 'antiviral', 'viral', 'compound', 'inhibitor', 'study', 'potential', 'bind']","['emergence new variant raise concern effectiveness vaccine address challenge smallmolecule antiviral propose crucial therapeutic option potential target therapy main protease mpro important essential role viruss life cycle high conservation substratebinde region core protease coronaviruse include sarscov middle east respiratory syndrome coronavirus merscov generation new protease inhibitor drug discovery method employ diverse range strategy target monomeric dimeric form include drug repurposing integrate virtual screening highthroughput screening ht structurebase drug design demonstrate vary level efficiency covalent inhibitor nirmatrelvir showcase robust highaffinity bind mpro exhibit stable interaction confirm molecular docking study development effective antiviral drug imperative address potential pandemic situation review explore recent advance search mpro inhibitor application artificial intelligence ai drug design ai leverage vast dataset advanced algorithm streamline design identification promise mpro inhibitor aidriven drug discovery method include molecular dock predictive modeling structurebase drug repurposing forefront identify potential candidate effective antiviral therapy time potentially threat global health quest potent antiviral solution target mpro critical inhibit virus', 'outbreak novel coronavirus severe acute respiratory syndromecoronavirus causative agent coronavirus disease respiratory disease lead global pandemic high morbidity mortality despite frenzied effort therapeutic development currently effective drug treatment vaccine prevention drug repurposing represent effective drug discovery strategy exist drug practical treatment option outbreak study present novel strategy silico molecular modeling screening potential drug interact multiple main protein target multiple viral protein novel drug discovery concept enable potential drug act different stage virus life cycle potentially maximize drug potency screen food drug administration fdaapprove small molecule key protein know attractive target antiviral drug development total identify drug actively interact target protein drug avapritinib bictegravir ziprasidone capmatinib pexidartinib common candidate key host protein possess desirable molecular property overlay dock position drug candidate individual host protein confirm bind site conformation conserve drug identify screening provide potential guidance experimental confirmation vitro molecular assay vivo animal testing incorporation ongoing clinical study', 'emergence zika virus belong flaviviridae family significant worldwide health issue link severe neurological complication rnadependent rna polymerase rdrp zika virus play significant replication virus consider promising candidate antiviral drug identification study employ computerbased drug discovery approach identify potential natural compound act inhibitor rdrp protein zika virus comprehensive virtual screening strategy implement mtiopenscreen webserver identify natural compound nplib database natural compound have zinc d select base bind score reveal virtual screening molecular docking simulation select compound reference compound perform assess bind affinity molecular bond form docking additionally molecular dynamic md simulation endpoint free bind energy calculation principal component analysis pca perform evaluate stability dynamic proteinligand complex compound exhibit favourable bind energy form stable interaction active site rdrp protein molecular dynamic simulation reveal robustness proteinligand complex suggest potential sustained inhibition finding provide valuable insight design development novel therapeutic intervention zika virus infection experimental validation optimization identify compound warrant advance potential translation effective antiviral drugscommunicate ramaswamy h sarma']",molecular docking and virtual screening
2,58,2_compound_drug_tuberculosis_inhibitor,"['compound', 'drug', 'tuberculosis', 'inhibitor', 'study', 'molecular', 'target', 'potential', 'antibiotic', 'discovery']","['tuberculosis tb infectious disease cause number death development new safe adequate tb inhibitorsdrug necessity great challenge mycobacterial dna gyrase b subunit identify potentially underexploited drug target field antitubercular drug discovery design novel potent mycobacterium tuberculosis mtb inhibitor perform molecular modeling study combine molecular dock molecular dynamic md simulation bind free energy calculation quinolineaminopiperidine inhibitor act dna gyrase b subunit construct model result show good comfa model high performance good comsia model yield contour map good agreement docking md simulation strongly demonstrate molecular modeling reliable base information potential compound design inhibitory activity verify accomplished model admet prediction hope research bring new idea facilitate development novel inhibitor high inhibitory activity tb communicate ramaswamy h sarma', 'staphylococcus aureus infection present significant threat global healthcare system increase resistance exist antibiotic limited efficacy underscore urgent need identify new antibacterial agent low toxicity effectively combat s aureus infection study screen tmuurolol possible interaction s aureusspecific bacterial protein establish potential alternative antibacterial agent base bind affinity interaction amino acid tmuurolol identify potential inhibitor s aureus lipase dihydrofolate reductase penicillinbinde protein daladala ligase ribosome protection protein tetracycline resistance determinant rpp tetm indicate potentiality s aureus multidrugresistant strain tmuurolol exhibit good antioxidant antiinflammatory activity show strong binding interaction flavin adenine dinucleotide faddependent nicotinamide adenine dinucleotide phosphate nadph oxidase consequently molecular dynamic md simulation recalculate bind free energy elucidate bind interaction stability target protein furthermore quantum chemical structure analysis base density functional theory dft depict high energy gap highest occupy molecular orbital low unoccupied molecular orbital ehomolumo low chemical potential index moderate electrophilicity suggest chemical hardness stability polarizability reactivity additionally pharmacological parameter base admet lipinski rule bioactivity score validate promising drug candidate high activity ion channel modulator nuclear receptor ligand enzyme inhibitor conclusion current finding suggest tmuurolol promising alternative antibacterial agent potential phytochemicalbase drug s aureus study suggest clinical research human application', 'multidrugresistant mdr staphylococcus aureus infection significantly threaten global health rise resistance current antibiotic limited solution urgent discovery new effective affordable antibacterial low toxicity imperative combat diverse mdr s aureus strain study introduce silico phytochemicalbase approach discover novel antibacterial agent underscore potential computational approach therapeutic discovery glucomoringin isothiocyanate gmgitc moringa oleifera lam phytochemical compound biological activity include antimicrobial antiinflammatory antioxidant activity effective s aureus study focus screen gmgitc potential drug candidate combat mdr s aureus infection molecular docking approach interaction amino acid analysis silico pharmacokinetic compound target prediction pathway enrichment analysis molecular dynamic md simulation conduct investigation molecular docking interaction analysis show strong bind affinity s aureus lipase dihydrofolate reductase mdr s aureus protein include penicillinbinde protein mepr daladala ligase rpp tetm hydrophilic hydrophobic interaction gmgitc show strong bind affinity faddependent nadph oxidase suggest potential antiinflammatory antioxidant candidate eliminate inflammation oxidative stress associate s aureus infection md simulation validate stability gmgitc molecular interaction determine molecular docking silico pharmacokinetic analysis highlight potency drug candidate show strong absorption distribution excretion property combination low toxicity act active protease enzyme inhibitor moderate activity gpcr ligand ion channel nuclear receptor ligand kinase enrichment analysis elucidate involvement important biological molecular cellular function potential therapeutic application disease like cancer hepatitis b influenza result suggest gmgitc effective antibacterial agent treat mdr s aureusassociate infection']",tuberculosis drug discovery
3,48,3_ad_disease_compound_inhibitor,"['ad', 'disease', 'compound', 'inhibitor', 'alzheimer', 'drug', 'ache', 'study', 'molecular', 'neurodegenerative']","['discovery novel multifunctional inhibitor target acetylcholinesterase ache hot spot antialzheimer disease ad drug development present study potent small molecule inhibitor ache new chemical scaffold identify inhibitor display potent inhibition activity ache enzymatic level value nm high selectivity ache butyrylcholinesterase bche bind mode compound carefully analyze molecular docking molecular dynamic md simulation provide informative clue structure modification finally antiamyloid beta abeta aggregation neuroprotective activity investigate finding highlight therapeutic promise ache inhibitor ad treatment', 'alzheimer disease ad neurodegenerative disorder death brain cell cause memory loss cognitive decline ie dementia disease start mild symptom gradually severe ad lead cause mortality worldwide different hallmark disease report deposit betaamyloid neuron hyperphosphorylate tau protein oxidative stress dyshomeostasis biometal low level acetylcholine etc ad simple diagnose single diagnostic test pharmacotherapy ad currently provide symptomatic relief target cognitive revival computational biology approach prove reliable tool selection novel target therapeutic ligand molecular docking key tool computerassiste drug design development docking utilize perform virtual screening large library compound propose structural hypothesis ligand bind target lead optimization potential application docking optimization stage drugdiscovery cycle review summarize know drug target ad vivo active agent ad stateoftheart dock study ad future prospect docking particular emphasis ad', 'alzheimer disease ad mark tau tangle amyloidbeta plaque lead cognitive decline despite extensive research complex etiology remain elusive necessitate new treatment study utilize machine learn ml analyze compound neuroprotective potential approach expose disease complexity identify important protein mtor central pathogenic network ad mtor regulate neuronal autophagy survival regulate apoptosis disrupt ad identify compound include armepavine c demonstrate potential modulatory effect protein potential synergistic effect drug treat ad reveal network pharmacology target numerous protein chemical provide comprehensive therapeutic approach address aspect ad complex pathophysiology molecular dock dynamic simulation principle component analysis confirm drug efficacy establish substantial bind affinity interaction important protein mtor evidence imply compound interact ad pathological framework provide sophisticated multifaceted therapy strategy conclusion study establish solid foundation use drug ad therapy current study highlight possibility multitargeted synergistic therapeutic approach address complex pathophysiology ad integrate machine learn network pharmacology molecular docking simulation holistic technique advance drug development open new avenue develop effective treatment difficult widespread disease']",drug target identification and validation
4,40,4_kinase_inhibitor_compound_cell,"['kinase', 'inhibitor', 'compound', 'cell', 'cancer', 'potential', 'target', 'drug', 'molecular', 'bind']","['kinase key target approximately breast cancer case cell shift dependence develop resistance inhibitor target present viable strategy address challenge study employ comprehensive approach combine structurebase pharmacophore model molecular docking mmgbsa calculation identify novel kinase inhibitor critical pharmacophoric feature extract crystal structure follow virtual screening chembl database discover potential small molecule candidate furthermore admet profile shortlist candidate assess verify pharmacokinetic toxicity property identify promise inhibitor kinase activity bind free energy deltagbind value kcalmol respectively integrated methodology enhance understanding inhibition set foundation rational design target therapy address breast cancer dependency', 'protein kinase deeply involve immunerelate disease cancer potential target structurebase drug discovery general structure characteristic kinase domain relatively wellknown atp bind site protein kinase serve target site highly conserved difficult develop selective kinase inhibitor resolve problem perform molecular dynamic simulation kinase aqueous solution analyze topological water network twn atp bind site reposition know kinase inhibitor atp bind site kinase exhibit twn similar receptorassociate kinase allow identify hit molecule hit molecule obtain commercial chemical library pharmacophorebase virtual screening molecular docking approach pharmacophoric feature hit molecule hybridize design novel compound inhibit low nanomolar level vitro assay', 'develop selective kinase inhibitor remain formidable challenge drug discovery highly conserve structural information adenosine triphosphate atp bind site kinase family tailor dock protocol identify promise kinase inhibitor candidate optimization long substantial obstacle drug discovery introduce kinasebench pioneer benchmark suite design advanced virtual screen improve selectivity efficacy kinase inhibitor comprehensive datum set include selective ligand decoy kinase extensive bioactivity structural datum chembl database decoy generate directory useful decoysenhanced version benchmarking set retrospective case study design provide useful guidance discover selective kinase inhibitor employ glide highthroughput virtual screen standard precision complement scoring function customize proteinligand interaction filter target specific kinase residue interaction innovation successfully implement virtual screen effort target inhibitor achieve selectivity family member consequently identify novel potential hit compound nm mum approve panakt inhibitor capivasertib nm mum kinasebench protocol compound demonstrate substantial selectivity make strong candidate investigation pharmaceutical result underscore utility tailor virtual screen protocol identify selective kinase inhibitor substantial implication rational drug design kinasebench offer robust toolset selective kinase drug discovery potential effectively guide future therapeutic strategy effectively']",molecular docking and virtual screening
5,30,5_inhibitor_bind_cancer_molecular,"['inhibitor', 'bind', 'cancer', 'molecular', 'study', 'compound', 'pgp', 'energy', 'simulation', 'md']","['failure chemotherapy treatment carcinoma mainly development multidrug resistance mdr largely cause overexpression pglycoprotein recently structure pgp transporter experimentally resolve restrict discovery prospective pgp inhibitor utilize silico technique study bind energy drug candidate clinical investigational stage assess potential pgp inhibitor employ silico method basis available experimental datum performance software predict drugpgp bind mode initially validate molecular docking molecular dynamic md simulation combine molecular mechanicsgeneralized bear surface area mmgbsa bind energy computation subsequently conduct screen investigate drug candidate base current result promising drug candidate valspodar dactinomycin elbasvir temsirolimus sirolimus show promise bind energy pgp transporter deltagbinde value kcalmol respectively postmd analysis reveal energetical structural stability identify drug candidate complex pgp transporter furthermore order mimic physiological condition potent drug complexe pgp subject ns md simulation explicit membranewater environment pharmacokinetic property identify drug predict demonstrate good admet characteristic overall result indicate valspodar dactinomycin elbasvir temsirolimus sirolimus hold promise prospective pgp inhibitor warrant invitroinvivo investigation', 'nuclear receptor bind set domain protein significantly contribute development cancer make promising target cancer drug discovery research explore natural compound potential selective inhibitor cancer treatment employ comprehensive silico approach study utilize pharmacophore model molecular docking pharmacokinetic profiling molecular dynamic simulation epharmacophore modelbase screening selective potent ligand bind identify natural compound supernatural database contain molecule acceptable alignment developed pharmacophore hypothesis subsequently molecular docking execute assess standout compound lead selection candidate surpass reference inhibitor accordance w bind affinity express g score ligandresidue interaction analysis hit reveal diverse crucial interaction active site include hydrogen bond pipi stacking hydrophobic contact key amino acid residue domain pharmacokinetic profiling confirm druglikability refined hit indicate good cellular permeability minimal bloodbrain barrier penetration molecular dynamic simulation nanosecond affirm stability proteinligand complex minimal fluctuation root mean square deviation root mean square fluctuation analyse overall study identify promise natural compound potential pharmaceutical agent treatment cancer', 'breast cancer resistance protein human atpbinde cassette abc play paramount role multidrug resistance mdr cancer therapy discovery inhibitor assist design unprecedented therapeutic strategy cancer treatment approve drug target large number drug candidate clinically investigate work bind affinity drug candidate clinicaltrial investigational stage inhibitor inspect silico technique base available experimental datum performance software validate predict bind mode affinity combine molecular docking calculation molecular dynamic md simulation follow molecular mechanicsgeneralize bear surface area mmgbsa bind energy calculation perform filter study drug candidate estimate docking score mmgbsa bind energy auspicious drug candidatesnamely pibrentasvir venetoclax ledipasvir avatrombopag cobicistat revefenacinexhibite auspicious binding energy value kcalmol interestingly pibrentasvir venetoclax ledipasvir observe high binding affinity transporter bind energy kcalmol long md simulation ns stability promising candidate complex transporter demonstrate energetic structural analysis ns md simulation current study throw new light pibrentasvir venetoclax ledipasvir curative option multidrug resistant cancer inhibit transporter']",molecular docking and virtual screening
6,30,6_alphaglucosidase_compound_study_alphaamylase,"['alphaglucosidase', 'compound', 'study', 'alphaamylase', 'activity', 'molecular', 'antidiabetic', 'show', 'enzyme', 'docking']","['diabete mellitus dm multifactorial lifethreatening endocrine disease characterize abnormality glucose metabolism chronic metabolic disease involve multiple enzyme alphaamylase alphaglucosidase inhibition enzyme identify promising method manage diabete researcher currently focus discover novel alphaamylase alphaglucosidase inhibitor diabetes therapy select bioactive compound momordica charantia mc plant perform virtual screening molecular dynamic investigation identify natural inhibitor alphaamylase alphaglucosidase silico result reveal phytocompound rutin show high binding affinity alphaamylase enzyme kcalmol follow karaviloside ii momordicoside f campesterol dock alphaglucosidase t rutin show great binding affinity kcalmol follow momordicine campesterol molecular dynamic md simulation research currently gold standard drug design discovery consequently conduct simulation nanosecond ns assess stability proteinligand complex base parameter like rmsd rmsf rg pca fel significance finding indicate rutin mc serve effective natural therapeutic agent diabetes management strong binding affinity alphaamylase alphaglucosidase enzyme research animal human essential validate efficacy drug molecule', 'introduction natural product play pivotal role innovative drug discovery provide structural lead development new therapeutic agent diseasesthe present study aim focus silico assessment therapeutic potential antidiabetic phytoconstituent identify isolate extract bauhinia rufescen lam medicinal plant traditionally pharmacotherapeutic purpose method physicochemical pharmacokinetic parameter previously isolate thirty compound predict swissadme web tool osiris property explorer toxicity risk assessment drug likeliness compound select dock human alphaglucosidase alphaamylaseenzyme autodock software furthermore active extract vivo test antidiabetic activity identify usingtlc bioautographic method result discussion eriodictyol find high potential inhibitor alphaamylase bind energy kcalmol rutin potent alphaglucosidase bind energy kcalmol considerable number hydrogen bond hydrophobic interaction compute compound enzyme make energetically favorable suggest inhibition enzyme plausible molecular mechanism antidiabetic effect conclusion flavonoid potential lead structure base design new effective hypoglycemic agent', 'diabete mellitus dm chronic metabolic condition lead significant complication high fatality rate worldwide effort ramp find develop novel alphaglucosidase alphaamylase inhibitor effective potentially safe traditional methodology replace new technique complicated time demand experimental computational strategy viable complementary drug discovery development result study conduct investigate vitro antidiabetic potential aqueous acetone helichrysum petiolare bl burtt extract aahpe uptake assay addition perform molecular docking flavonoid constituent identify quantify liquid chromatographymass spectrometry lcms aahpe potential serve effective safe alphaamylase alphaglucosidase inhibitor important drug discovery development result show aahpe potential inhibitor alphaamylase alphaglucosidase value microgml microgml respectively demonstrate significant increase glucose uptake activity percentage concentrationdependent manner compare control high aahpe concentration microgml glucose uptake activity high metformin standard antidiabetic drug insulinresistant cell line molecular docking result display constituent strongly bind alphaamylase alphaglucosidase achieve well bind affinity range deltag kcalmol compare acarbose deltag kcalmol alphaamylase deltag kcalmol compare acarbose deltag kcalmol alphaglucosidase study reveal potential use h petiolare plant extract phytochemical explore develop potent safe alphaamylase alphaglucosidase inhibitor treat postprandial glycemic level diabetic patient']",molecular docking and virtual screening
7,24,7_gpcrs_gpcr_ligand_receptor,"['gpcrs', 'gpcr', 'ligand', 'receptor', 'agonist', 'allosteric', 'proteincouple', 'discovery', 'drug', 'approach']","['gproteincouple receptor gpcrs tractable drug target decade onethird currently market drug target gpcrs class gpcr superfamily highly represent continue drug discovery family receptor provide novel therapeutic vast range disease gpcr allosteric modulation innovative target approach broaden available small molecule toolbox prove viable drug discovery strategy evidence recent fda approval clinical trial numerous class gpcr allosteric modulator discover recently emerge trend availability gpcr crystal structure diverse functional assay structurebase computational approach improve optimization development perspective provide update allosterically target class gpcrs disease indication medicinal chemistry approach novel allosteric modulator highlight emerge trend opportunity field', 'g proteincouple receptor gpcrs valuable therapeutic target disease central question gpcr drug discovery understand determine agonism antagonism ligand bind ligand exert action interaction ligand bind pocket hypothesize common set receptor interaction ligand diverse structure mediate action large dataset different ligand functionally important interaction overrepresente computationally dock know ligand multiple structure generate docking pose predict atomic interaction receptor ligand machine learning ml technique identify specific interaction correlate agonist antagonist activity ligand demonstrate application ml method possible identify key interaction associate agonism antagonism ligand representative interaction agonist ligand involve antagonist ligand interaction residue consider important gpcr activation interpretation ml analysis human understandable form allow construct exquisitely detailed structureactivity relationship identify small change ligand invert pharmacological activity help guide drug discovery process approach readily apply drug target', 'g proteincouple receptor gpcrs constitute large group human membrane protein receive significant attention drug discovery important role physiological process drug development gpcrs remarkably successful profitable pharmaceutical market target member superfamily breakthrough structural biology gpcrs reveal bind site recognize extracellular molecule atomic level highresolution crystal structure gpcrdrug complex capture different receptor conformation available provide insight ligand stabilize different functional state recently basis subtype selectivity novel allosteric bind site reveal crystal structure accomplishment provide exciting opportunity identify novel gpcr ligand silico structurebase method molecular docking increase computational power enable dock screen large chemical library identify molecule complement gpcr bind site provide possibility identify ligand tailor pharmacological property review focus prospective docking screen gpcrs technique identify lead candidate specific signal selectivity profile current state field suggest molecular docking combination understanding gpcr signaling play important role future drug discovery']",drug target identification and validation
8,23,8_antimalarial_malaria_drug_parasite,"['antimalarial', 'malaria', 'drug', 'parasite', 'new', 'antileishmanial', 'leishmaniasis', 'compound', 'molecule', 'leishmania']","['identify novel lead compound drug discovery challenge rapid rise drug resistance exist chemotherapeutic lack understanding complex metabolic pathway parasite integrate computational experimental approach show great worth identify develop novel promise pharmacophore hybrid present research series new antimalarial agent design base recent report preliminary finding silico study derivative show potential bind site cytochrome complex disrupt mitochondrial electron transport chain compound previously synthesize compound exhibit significant inhibitory activity malaria parasite presently seven compound successfully synthesize characterize novel compound show promise antimalarial agent', 'malaria virulent parasitic disease devastating health problem tropical subtropical region especially africa favorable temperature rainfall condition development causative vector spread multidrug resistance market antimalarial drug include magic bullet artemisinin discovery development new antimalarial drug utmost challenge different government nongovernment chemical regulatory authority recommend application nonanimal alternative technique particular silico method order provide information basic physicochemical property ecological human health effect chemical reach market public use aspect application chemometric method structurebase approach useful design discovery new antimalarial compound quantitative structureactivity relationship qsar molecular docking pharmacophore modeling technique play crucial role field drug design qsar focus chemical attribute influence activity allow synthesis selective potential candidate molecule communication review qsar report pharmacophore modeling dock study antimalarial agent publish year attempt focus importance physicochemical property structural feature require antimalarial activity different chemical class compound note exhaustive review give example consider representative one reader gain insight current status qsar relate silico model develop different class antimalarial compound review suggest combination ligand structurebase drug designing approach promising tool discovery development new molecule potential antimalarial activity', 'compare previous year increase nearly million malaria case emergence drugresistant strain plasmodium falciparum deadly malaria parasite lead decline effectiveness exist antimalarial drug address problem present study aim identify natural compound potential inhibit multiple validate antimalarial drug target natural compound natural product activity specie source npass database screen validate drug target plasmodium falciparum structurebase molecular docking method compound target range determine hit molecular dynamic simulation complex complex pfadss pfgdh pfnmt complex pfck pfgdh pfdutpase confirm stable bind affinity dynamic environment tanimoto coefficient distance matrix score analysis structural divergence hit compound know antimalarial indicate minimum chance crossresistance propose investigate compound biochemical parasite inhibition study reveal real therapeutic potential find successful compound new avenue future drug discovery effort combat exist antimalarial drug resistancecommunicate ramaswamy h sarma']",antimalarial drug discovery
